,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos
2061,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 03:00:00+02:00,1.0,17.55,0,0.7071067811865475,0.7071067811865476
2062,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 04:00:00+02:00,3.0,7.13,0,0.8660254037844386,0.5000000000000001
2063,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 05:00:00+02:00,19.0,14.765,0,0.9659258262890683,0.25881904510252074
2064,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 06:00:00+02:00,58.0,16.6175,0,1.0,6.123233995736766e-17
2065,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 07:00:00+02:00,84.0,11.775,0,0.9659258262890683,-0.25881904510252063
2066,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 08:00:00+02:00,116.0,15.6025,0,0.8660254037844387,-0.4999999999999998
2067,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 09:00:00+02:00,146.0,20.752499999999998,0,0.7071067811865476,-0.7071067811865475
2068,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 11:00:00+02:00,186.0,14.265,0,0.258819045102521,-0.9659258262890682
2069,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 12:00:00+02:00,166.0,14.633333333333333,0,1.2246467991473532e-16,-1.0
2070,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 13:00:00+02:00,166.0,16.557499999999997,0,-0.2588190451025208,-0.9659258262890683
2071,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 14:00:00+02:00,177.0,14.200000000000001,0,-0.4999999999999997,-0.8660254037844388
2072,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 15:00:00+02:00,146.0,16.326666666666668,0,-0.7071067811865471,-0.7071067811865479
2073,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 16:00:00+02:00,160.0,15.886666666666665,0,-0.8660254037844384,-0.5000000000000004
2074,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 17:00:00+02:00,168.0,15.7825,0,-0.9659258262890683,-0.25881904510252063
2075,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 18:00:00+02:00,152.0,16.2825,0,-1.0,-1.8369701987210297e-16
2076,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 19:00:00+02:00,155.0,16.8225,0,-0.9659258262890684,0.2588190451025203
2077,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 20:00:00+02:00,110.0,15.9,0,-0.8660254037844386,0.5000000000000001
2078,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 21:00:00+02:00,72.0,13.3025,0,-0.7071067811865477,0.7071067811865474
2079,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 22:00:00+02:00,26.0,11.57,0,-0.5000000000000004,0.8660254037844384
2080,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-06-30 23:00:00+02:00,8.0,7.67,0,-0.25881904510252157,0.9659258262890681
2081,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 00:00:00+02:00,16.0,15.51,1,0.0,1.0
2082,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 01:00:00+02:00,9.0,18.511666666666667,1,0.25881904510252074,0.9659258262890683
2083,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 03:00:00+02:00,1.0,0.0,1,0.7071067811865475,0.7071067811865476
2084,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 04:00:00+02:00,7.0,14.46,1,0.8660254037844386,0.5000000000000001
2085,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 05:00:00+02:00,26.0,19.3575,1,0.9659258262890683,0.25881904510252074
2086,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 06:00:00+02:00,64.0,15.2825,1,1.0,6.123233995736766e-17
2087,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 07:00:00+02:00,71.0,11.266666666666666,1,0.9659258262890683,-0.25881904510252063
2088,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 08:00:00+02:00,143.0,14.83,1,0.8660254037844387,-0.4999999999999998
2089,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 09:00:00+02:00,171.0,15.21,1,0.7071067811865476,-0.7071067811865475
2090,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 10:00:00+02:00,164.0,16.053333333333335,1,0.49999999999999994,-0.8660254037844387
2091,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 11:00:00+02:00,156.0,14.67,1,0.258819045102521,-0.9659258262890682
2092,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 12:00:00+02:00,161.0,12.906666666666666,1,1.2246467991473532e-16,-1.0
2093,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 13:00:00+02:00,119.0,14.056666666666667,1,-0.2588190451025208,-0.9659258262890683
2094,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 14:00:00+02:00,127.0,20.7375,1,-0.4999999999999997,-0.8660254037844388
2095,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 15:00:00+02:00,159.0,16.936666666666667,1,-0.7071067811865471,-0.7071067811865479
2096,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 16:00:00+02:00,168.0,17.8975,1,-0.8660254037844384,-0.5000000000000004
2097,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 17:00:00+02:00,137.0,16.8275,1,-0.9659258262890683,-0.25881904510252063
2098,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 18:00:00+02:00,95.0,14.69,1,-1.0,-1.8369701987210297e-16
2099,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 19:00:00+02:00,98.0,13.855,1,-0.9659258262890684,0.2588190451025203
2100,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 20:00:00+02:00,82.0,16.505000000000003,1,-0.8660254037844386,0.5000000000000001
2101,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 21:00:00+02:00,51.0,14.6525,1,-0.7071067811865477,0.7071067811865474
2102,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 22:00:00+02:00,18.0,10.103333333333333,1,-0.5000000000000004,0.8660254037844384
2103,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-01 23:00:00+02:00,5.0,2.08,1,-0.25881904510252157,0.9659258262890681
2104,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 00:00:00+02:00,11.0,14.71,2,0.0,1.0
2105,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 01:00:00+02:00,4.0,14.22,2,0.25881904510252074,0.9659258262890683
2106,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 02:00:00+02:00,3.0,20.31,2,0.49999999999999994,0.8660254037844387
2107,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 03:00:00+02:00,1.0,43.582499999999996,2,0.7071067811865475,0.7071067811865476
2108,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 04:00:00+02:00,6.0,10.15,2,0.8660254037844386,0.5000000000000001
2109,Kurpark,bc5edd25-415e-40fb-8607-ad8c0b10ea4c,2025-07-02 05:00:00+02:00,25.0,17.95,2,0.9659258262890683,0.25881904510252074
